"filename", "language", "JSON", "SQLite", "CSV", "Python", "Markdown", "Home Assistant", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/account-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/addresses-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/login-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 4, 27
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/modals/address-modal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/order-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 5, 81
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/orders-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/overview-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 5, 47
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/profile-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 1, 19, 167
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/account/register-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/base/base-modal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/base/base-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 34
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/base/cart-dropdown.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 6, 52
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/base/nav-menu.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/base/search-modal.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/cart-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 7, 120
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/category-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 6, 49
"/Users/gero/dev/Nexa/nexa/storefront/e2e/fixtures/checkout-page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 24, 296
