Date : 2025-03-02 12:22:41
Directory : /Users/gero/dev/Nexa
Total : 318 files,  82343 codes, 3364 comments, 5323 blanks, all 91030 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/gero/dev/Nexa/nexa/.github/workflows/node.js.yml                                                                           | Home Assistant     |         34 |          3 |          6 |         43 |
| /Users/gero/dev/Nexa/nexa/README.md                                                                                               | Markdown           |        152 |          0 |         68 |        220 |
| /Users/gero/dev/Nexa/nexa/medusa/.yarn/releases/yarn-4.3.1.cjs                                                                    | JavaScript         |        543 |        300 |         52 |        895 |
| /Users/gero/dev/Nexa/nexa/medusa/.yarnrc.yml                                                                                      | Home Assistant     |          4 |          0 |          4 |          8 |
| /Users/gero/dev/Nexa/nexa/medusa/README.md                                                                                        | Markdown           |         51 |          0 |         20 |         71 |
| /Users/gero/dev/Nexa/nexa/medusa/docker-compose.yml                                                                               | Home Assistant     |         47 |          0 |          5 |         52 |
| /Users/gero/dev/Nexa/nexa/medusa/instrumentation.js                                                                               | JavaScript         |          0 |         21 |          3 |         24 |
| /Users/gero/dev/Nexa/nexa/medusa/integration-tests/http/README.md                                                                 | Markdown           |         23 |          0 |          6 |         29 |
| /Users/gero/dev/Nexa/nexa/medusa/integration-tests/http/health.spec.ts                                                            | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/gero/dev/Nexa/nexa/medusa/jest.config.js                                                                                   | JavaScript         |         24 |          0 |          2 |         26 |
| /Users/gero/dev/Nexa/nexa/medusa/medusa-config.js                                                                                 | JavaScript         |         63 |          0 |          3 |         66 |
| /Users/gero/dev/Nexa/nexa/medusa/package.json                                                                                     | JSON               |         64 |          0 |          1 |         65 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/README.md                                                                              | Markdown           |         22 |          0 |          9 |         31 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/EditMaterialDrawer.tsx                                                      | TypeScript JSX     |         69 |          0 |          4 |         73 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/Form/Form.tsx                                                               | TypeScript JSX     |         56 |          0 |          6 |         62 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/Form/ImageField.tsx                                                         | TypeScript JSX     |        132 |          0 |          8 |        140 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/Form/InputField.tsx                                                         | TypeScript JSX     |         87 |          0 |          5 |         92 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/Form/SelectField.tsx                                                        | TypeScript JSX     |         60 |          0 |          4 |         64 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/Form/SubmitButton.tsx                                                       | TypeScript JSX     |         15 |          0 |          2 |         17 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/Form/TextareaField.tsx                                                      | TypeScript JSX     |         51 |          0 |          4 |         55 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/components/QueryClientProvider.tsx                                                     | TypeScript JSX     |         24 |          0 |          4 |         28 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/hooks/fashion.ts                                                                       | TypeScript         |         76 |          0 |          7 |         83 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/hooks/images.ts                                                                        | TypeScript         |         76 |          0 |         10 |         86 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/routes/fashion/[id]/page.tsx                                                           | TypeScript JSX     |        481 |          3 |         23 |        507 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/routes/fashion/page.tsx                                                                | TypeScript JSX     |        345 |          3 |         16 |        364 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/tsconfig.json                                                                          | JSON with Comments |         20 |          2 |          3 |         25 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/widgets/collection-details.tsx                                                         | TypeScript JSX     |        257 |          0 |         22 |        279 |
| /Users/gero/dev/Nexa/nexa/medusa/src/admin/widgets/product-fashion.tsx                                                            | TypeScript JSX     |        231 |         64 |         17 |        312 |
