,id,url,image_url,price,name,properties
10,11,https://www.hemden.de/olymp-level-five-body-fit-hemd-rauchblau-einfarbig-langarm-6090.64.13,https://cdn.hemden.de/media/image/f9/e3/21/6090-64-13_800AtNmfuEcui2r9.jpg,59.95,"OLYMP Level Five Body Fit Hemd rauchblau, Einfarbig","{'Marke': 'OLYMP', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Uni-Popeline', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'rauchblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
11,12,https://www.hemden.de/herrenhemd/olymp/modern-fit/dunkelblau/new-kent/langarm-64cm/einfarbig/03026496,https://cdn.hemden.de/media/image/a5/5c/c0/0302-64-96_800Ct4NOEVp7i9Jb.jpg,59.95,"OLYMP Luxor Modern Fit Hemd indigo, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Fil à fil', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Leicht tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'indigo', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
12,13,https://www.hemden.de/olymp-level-five-body-fit-galahemd-weiss-einfarbig-langarm-1276.65.00,https://cdn.hemden.de/media/image/da/2b/f7/1276-65-00_800glynb4F96G8dv.jpg,69.95,"OLYMP Level Five Body Fit Galahemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Stoffart: Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Umschlagmanschette', 'Besonderheiten': 'verdeckte Knopfleiste'}"
13,14,https://www.hemden.de/olymp-level-five-body-fit-hemd-marine-einfarbig-langarm-6090.64.18,https://cdn.hemden.de/media/image/28/3f/2e/6090-64-18_800jI1wyZ6yyx5KM.jpg,59.95,"OLYMP Level Five Body Fit Hemd marine, Einfarbig","{'Marke': 'OLYMP', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Stoff': 'Stretch', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'marine', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Sportmanschette'}"
14,15,https://www.hemden.de/olymp-no.-six-super-slim-hemd-weiss-einfarbig-langarm-0466.64.00,https://cdn.hemden.de/media/image/40/52/fb/0466-64-00_800X2SO8aj3g5Fnr.jpg,59.95,"OLYMP No. Six Super Slim Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Stoffart: Popeline', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Stark tailliert', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'Urban Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
15,16,https://www.hemden.de/marvelis-comfort-fit-hemd-schwarz-einfarbig-langarm-7959.64.68,https://cdn.hemden.de/media/image/a3/eb/35/7959-64-68_8006HiG1w9Tiyw2H.jpg,39.95,"Marvelis Comfort Fit Hemd schwarz, Einfarbig","{'Marke': 'Marvelis', 'Schnitt': 'Gerader Schnitt', 'Stoff': 'Chambray', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'New Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '40 Grad', 'Farbe': 'schwarz', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Officemanschette'}"
16,17,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-royal-karo-langarm-3190.64.19,https://cdn.hemden.de/media/image/28/21/ca/3190-64-19_800dYHPZo49mO1KZ.jpg,69.95,"OLYMP Luxor Comfort Fit Hemd royal, Karo","{'Marke': 'OLYMP', 'Stoff': 'Check', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New Kent', 'Material': '100% Baumwolle', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'royal', 'Muster': 'Karo', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette', 'Besonderheiten': 'Patch in Kragen / Manschette'}"
17,18,https://www.hemden.de/olymp-level-five-body-fit-hemd-hellblau-einfarbig-langarm-2080.64.10,https://cdn.hemden.de/media/image/1f/ac/aa/2080-64-10_800.jpg,59.95,"OLYMP Level Five Body Fit Hemd hellblau, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Chambray', 'Nachhaltigkeit': 'OLYMP GREENCHOICE', 'Schnitt': 'Taillierter Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Kragenart': 'New York Kent', 'Material': '97% Baumwolle / 3% Elastolefin', 'Pflege': 'Pflegeleicht', 'Waschbar bis': '40 Grad', 'Farbe': 'hellblau', 'Muster': 'Einfarbig', 'Brusttasche': 'Ohne Brusttasche', 'Manschette': 'Kombimanschette'}"
18,19,https://www.hemden.de/casa-moda-hemd-comfort-fit-weiss-einfarbig-langarm-006050.0,https://cdn.hemden.de/media/image/10/76/91/006050-0_800yIQoeN57bZ0QO.jpg,49.95,"Casa Moda Hemd - Comfort Fit - weiss, Einfarbig","{'Marke': 'Casa Moda', 'Stoff': 'Uni-Popeline', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '65cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% Baumwolle', 'Kragenart': 'Kent', 'Pflege': 'Bügelfrei', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
19,20,https://www.hemden.de/olymp-luxor-comfort-fit-hemd-weiss-einfarbig-langarm-0251.64.00,https://cdn.hemden.de/media/image/ba/fa/29/0251-64-00_800tkoq5mp4jjtVT.jpg,59.95,"OLYMP Luxor Comfort Fit Hemd weiss, Einfarbig","{'Marke': 'OLYMP', 'Stoff': 'Uni-Popeline', 'Schnitt': 'Gerader Schnitt', 'Armlänge cm': '64cm', 'Armlänge': 'Langarm (Normallänge)', 'Material': '100% ägyptische Baumwolle', 'Kragenart': 'Button-Down', 'Pflege': 'Bügelfrei und Knitterfrei', 'Waschbar bis': '60 Grad', 'Farbe': 'weiss', 'Muster': 'Einfarbig', 'Brusttasche': 'Mit Brusttasche', 'Manschette': 'Kombimanschette'}"
